"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"Genre";"Espece";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"BD_mean";"Nb_FI";"Nb_essais";"groupe";"BD_mean_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Gmin_cr";"LMC_t0_cr";"ratio";"logLMC24";"logLMC0"
"53";53;"Pinus caribea";24;"I";"Pinus";"caribea";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;1;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,04;110,91;7,94;438,61;4,91;7610,11;58,24;1,13;8;6;6;"5";0,355768340144922;0,340618041545936;-0,776026453605428;0,750874922187053;-0,172514187559611;-0,53205731425435;-0,413786048639856;-0,720162577592123;-0,705843217172429;0,859500929944203;4,70871906161665;4,86012243381695
"54";54;"Plerandra gabriellae";64;"";"Plerandra";"gabriellae";31,75;4;71,55;7;3;7;26;26;530,67;9,5;9,5;1;0,17;6,97;215,17;195,89;319,42;1,13;24,35;6,23;184,56;157,31;9,59;355,4;156,4;5320,31;69,46;1,33;6,97;6;6;"3";0,159528446024539;2,66143927377418;0,995462651803584;-0,0705487231281053;0,304199209789164;-0,965297869777857;-1,23269232172062;-0,894748595943578;-0,194457343462191;0,852351538794972;5,05821838083441;5,2179746138655
"55";55;"Rauvolfia semperflorens";68;"";"Rauvolfia";"semperflorens";34,6;2;58,6;8,58;1,42;8,58;39,5;39,5;667,17;51,67;51,67;1;12,17;2,27;92,14;64,06;520,62;0,58;10,7;20,3;199,45;98,72;33,47;335,39;8,98;9201,74;37,13;2,28;2,27;6;6;"4";-0,735935148505362;-0,377731387477092;-0,728432812711543;-0,26808131708023;-0,297754194319989;-0,230913692371269;1,03679388543161;-0,178589622705975;-0,0573079259631732;0,494961143143645;4,59228756015708;5,29556357835142
"56";56;"Santalum austrocaledonicum";14;"";"Santalum";"austrocaledonicum";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;1;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,5;234,24;149,62;25,4;302,55;8,4;10106,48;30,87;1,24;3,13;6;6;"2";-0,572084363123295;-0,654019629409026;-0,735215198883153;-0,592267743136591;0,22519218337511;-0,0597327769182437;0,87792985093095;0,0860888890804879;0,263137220765559;0,638746584699454;5,00809874644426;5,45634623077295
"57";57;"Scaevola cylindrica";62;"";"Scaevola";"cylindrica";31,72;3,33;68,18;7,75;2,25;7,75;28,67;28,67;605,33;40,83;40,83;1;9,5;3,55;155,21;124,47;396,32;0,73;13,31;23,17;375,07;183,7;40,97;214,25;26,5;12804,08;17,97;1,49;3,55;6;6;"3";-0,492064212122751;0,45113333831871;-0,52355797525187;-1,46393831015171;0,575329954531279;0,450665389987256;0,531833204340236;-0,0325074440853695;1,56029991159072;0,489775241954835;5,21330399222108;5,92711267521702
"58";58;"Scaevola montana";46;"";"Scaevola";"montana";24,1;2,4;64,2;7,92;0,58;9,42;16,33;17,83;547,03;29,17;30,83;0,83;14,5;1,73;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19921,74;10,77;1,08;1,73;5;6;"2";-0,838818199791776;-0,488246684249865;-0,685750554907445;-1,54241827626463;0,71413163552658;1,79735897563991;1,47745245732033;-0,360810598128194;1,71043661442712;0,503896568464624;5,28426915082198;5,96965340409387
"59";59;"Scaevola taccada";21;"G";"Scaevola";"taccada";29,1;1,5;68,8;0,83;9,17;0,83;1,83;1,83;196,03;0,17;0,17;0,17;4;11,41;243,76;219,39;292,8;0,65;13,25;14,51;775,09;674,05;11,74;116,6;48,86;17188,41;7,04;1,26;11,41;1;6;"1";1,00545575660172;0,00907215122761581;-0,262085294567036;-2,42790921467071;5,61318371293584;1,28020053052284;-0,508347973937865;-0,473298965637441;5,24482039432792;0,869640944922525;6,51330429213707;6,65297915164315
"60";60;"Styphelia cymbulae";59;"";"Styphelia";"cymbulae";27,9;2;70,9;9,5;0,5;9,5;35,33;35,33;833,33;85;85;1;16;2,52;67,6;39,69;597,14;0,54;9,81;26,2;79,73;9,4;38,78;561,62;1,77;7446,18;79,94;1,09;2,52;6;6;"4";-0,688304106243133;-0,598761981022639;-0,812744889086215;1,96519198275931;-1,21542748421638;-0,563073614484487;1,76113823321436;0,12171868874405;-1,1600297703542;0,117897905430829;2,24070968927596;4,3786459265144
"61";61;"Syzygium cumini";15;"I";"Syzygium";"cumini";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;1;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;179,66;145,28;12,2;361,7;70,89;10172,36;37,59;1,24;3,28;6;6;"4";-0,543505737765958;-1,20659611327289;-0,00447155773846257;-0,00835705186881553;0,180603042329988;-0,0472679818278912;-0,413786048639856;-0,448867103010998;-0,239590462719758;0,808638539463431;4,97866291485298;5,19106617580106
"62";62;"Tabernaemontana cerifera";36;"F";"Tabernaemontana";"cerifera";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;1;3;6,63;183,78;168,78;353,79;0,76;15,55;56,86;318,72;232,23;20,98;241,77;99,93;7280,97;34,73;1,21;6,63;6;6;"2";0,0947502285479082;0,61690628347787;0,335115501612503;-1,19226929538098;1,07392696257731;-0,594332096525731;-0,697471824533883;1,68230391400808;1,04126904012869;0,72863328313253;5,44772825988473;5,76431297439623
"63";63;"Terminalia catappa";2;"I";"Terminalia";"catappa";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;1;2,2;NA;168,34;141,9;420,41;0,47;8,76;24,43;230,63;163,06;20,68;305,11;264,97;12749,96;24,64;1,59;6,12;5;5;"2";-0,00241709766703849;-0,985565519727347;2,26505518051344;-0,566996206878848;0,363274684676135;0,440425640286438;-0,848770905010698;0,0316261953090426;0,229886085965595;0,707019902007545;5,09411823123476;5,44081469477658
"64";64;"Trema cannabina";52;"N";"Trema";"cannabina";29,5;5;59,9;9,5;0,5;9,5;22;22;623,08;53,33;53,33;1;9,33;0,85;184,68;147,3;353,91;0,31;7,99;67,58;232,92;56,77;52,42;304,63;35,12;22892,86;13,71;1,65;0,85;6;6;"4";-1,00647946855482;-1,86968789390954;-0,422757684218629;-0,571734619927175;-0,728748311104065;2,35950836830608;0,499682149738913;2,22794884599864;0,25097891108801;0,243731753391723;4,03900801718263;5,45069504696892
"65";65;"Tristaniopsis calobuxus";57;"";"Tristaniopsis";"calobuxus";29,7;6;64;9,42;0,58;9,42;99,67;99,67;896,35;93,33;93,33;1;16,67;5,54;54,82;41,08;646,32;0,79;15,18;36,31;67,68;26,61;24,65;597,26;2,06;4140,55;145,63;1,5;5,54;6;6;"5";-0,112921115715409;0,782679228637031;-0,80935369600041;2,31701915159758;-1,03861201938077;-1,18851381780145;1,88785121311369;0,636314795313501;-1,27102040036516;0,393173758865248;3,2812870849896;4,21479071529797
"66";66;"Tristaniopsis glauca";12;"M";"Tristaniopsis";"glauca";28,32;2,75;77,32;9;1;9;64,83;64,83;775,83;86,17;86,17;1;8,17;3,67;54,47;42,95;648,21;0,86;11,39;20,07;91,02;49,69;21,87;524,32;15,84;3680,02;144,26;0,88;3,67;6;6;"5";-0,469201311836881;1,16948276734174;-0,648213555578361;1,59697780212891;-0,801488200182283;-1,27564818457376;0,280298483047532;-0,190296556881146;-1,0560393792485;0,545923972753241;3,90580370561423;4,5110792625885
"67";67;"Wikstroemia indica";55;"";"Wikstroemia";"indica";30;4,8;65,6;6;1;9;12,33;15,33;305,8;14,17;15,33;0,67;10,83;1,69;88,48;51,25;531,4;0,33;7,72;23,68;334,14;65,44;60,29;257,3;3,42;26995,45;12,04;1,46;1,69;4;6;"2";-0,846439166553733;-1,75917259713676;-0,79345016980491;-1,0389618898799;-0,639672768970145;3,13573702176279;0,783367925632941;-0,00654859004477418;1,18330020318005;0,195846052552822;4,18113369229449;5,81156006682963
