"";"ID_espece";"Nom_scientifique.x";"Milieu_recolte.x";"T_ambiante.x";"Vent.x";"Humidite.x";"DI.x";"DI_test.x";"score_DI.x";"BT.x";"BT_test.x";"MT.x";"BB.x";"BB_test.x";"FI.x";"Nb_ramifications.x";"SD.x";"TMC_t0.x";"TMC_t24.x";"TDMC.x";"TD.x";"TDIA.x";"Gmin.x";"LMC_t0.x";"LMC_t24.x";"PEF.x";"LDMC.x";"Surface_F.x";"SLA.x";"LT.x";"Nb_FI";"X";"Nom_scientifique.y";"Milieu_recolte.y";"T_ambiante.y";"Vent.y";"Humidite.y";"DI.y";"DI_test.y";"score_DI.y";"BT.y";"BT_test.y";"MT.y";"BB.y";"BB_test.y";"FI.y";"Nb_ramifications.y";"SD.y";"TMC_t0.y";"TMC_t24.y";"TDMC.y";"TD.y";"TDIA.y";"Gmin.y";"LMC_t0.y";"LMC_t24.y";"PEF.y";"LDMC.y";"Surface_F.y";"SLA.y";"LT.y";"coefBB";"coefMT";"coefBT";"coefDI";"coefSLA";"coefLA";"coefLDMC";"coefLMC_t24";"coefTD";"coefLT"
"41";41;"Acronychia laevis";"L";27,4;1,4;75;9,33;0,67;9,33;15,83;15,83;518,97;40;40;1;13,83;1,58;100,06;75,67;503,26;0,41;7,78;11,42;236,43;144,84;28,13;302,32;20,99;17628,53;18,24;6;2;"Acronychia laevis";"L";0;0;0;0,26;0,26;0,26;3,25;3,25;141,6;17,61;17,61;0;4,96;0,45;17,79;12,87;46,06;0,04;0,84;4,39;26,74;33,24;5,77;26,7;7,44;1753,82;4,52;44,025;27,284814151107;20,5306380290587;38,8059701492537;9,94875919886684;35,4454502143878;8,83170150833554;22,9494614747307;9,75609756097561;24,780701754386
"42";42;"Codiaeum peltatum";"L";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;1;5,4;1,95;89,51;73,33;528,97;0,52;9,83;4,41;208,95;183,09;8,43;325,39;21,82;12040,03;27,66;5;18;"Codiaeum peltatum";"L";0;0;0;0,97;0,97;0,97;4,9;4,9;134,52;10;10;0;1,52;0,54;10,4;8,45;29,71;0,1;1,91;1,31;15;15,63;0,72;14,92;3,36;916,41;2,98;50;21,1283533329145;35;74,6153846153846;7,61135977235937;15,3987167736022;4,58526691047666;8,53678518761265;19,2307692307692;10,7736804049168
"43";43;"Gardenia urvillei";"L";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;1;8,5;2,74;62,79;50,48;615,59;0,61;10,35;10,17;156,9;93,16;25,49;391,85;13,42;11969,04;33,7;6;27;"Gardenia urvillei";"L";0;0;0;0,26;0,26;0,26;27,75;27,75;55,77;20,35;20,35;0;0,84;2,95;8,1;7,03;31,08;0,05;1,16;6,24;18,73;33,35;8,02;29,6;2,29;1487,81;6,33;37,5669189588333;8,43568489835431;66,8674698795181;38,8059701492537;12,4304873239625;17,0640834575261;7,55391093530688;35,798626019751;8,19672131147541;18,7833827893175
"44";44;"Cordia dichotoma";"L";25,7;1,2;76,8;9,17;0,83;9,17;20;20;571,2;30;30;0,83;1,17;1,55;209,58;162,79;325,96;0,39;7,65;60,81;258,84;35,85;61,81;280,92;44,98;13672,88;21,61;5;19;"Cordia dichotoma";"L";0;0;0;0,26;0,26;0,26;7,18;7,18;211,12;14,83;14,83;0,41;1,17;0,98;34,39;15,88;31,82;0,09;1,68;29,77;26,49;23,54;7,2;20,64;7,04;2613,95;5,05;49,4333333333333;36,9607843137255;35,9;31,3253012048193;19,1177718227616;15,6514006224989;7,34728748398121;65,6624825662482;23,0769230769231;23,3688107357705
"45";45;"Lepidocupania arcuata";"L";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;1;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,09;71,46;6;39;"Lepidocupania arcuata";"L";0;0;0;0,41;0,41;0,41;8,06;8,06;67,96;33,12;33,12;0;1,9;0,63;12,97;12,03;43,52;0,06;1,06;5,14;3,46;7,21;3,46;9,38;7,82;464,15;5,41;58,4436209634727;8,75457309218323;27,6311278711004;30,8270676691729;6,30973791783407;37,5600384245917;1,80415841203285;32,7429609445958;10,5263157894737;7,5706689056815
"46";46;"Scaevola montana";"N";24,1;2,4;64,2;7,92;0,58;9,42;16,33;17,83;547,03;29,17;30,83;0,83;14,5;1,73;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19918,39;10,78;5;48;"Scaevola montana";"N";0;0;0;3,88;0,2;0,2;9,16;6,21;211,29;14,97;11,14;0,41;3,39;0,7;15,3;12,42;34,41;0,14;2,68;6,64;44,18;83,8;13,74;18,46;3,87;2665,98;2,17;36,1336360687642;38,6249383032009;34,828939988783;34,4827586206897;13,3845155155612;30,6413301662708;8,94813378574891;42,4927742000913;25;20,1298701298701
"47";47;"Alstonia vieillardii";"N";24,1;2,4;64,2;8,83;1,17;8,83;23,5;23,5;607,2;32,5;32,5;1;2;8,77;102,86;90;495,55;0,48;9,83;11,24;269,58;199,02;19,49;274,53;180,63;11360,97;25,48;6;8;"Alstonia vieillardii";"N";0;0;0;0,52;0,52;0,52;6,12;6,12;107,22;13,32;13,32;0;1,9;5,24;15,66;16,81;40,44;0,04;0,7;5,48;43,6;49,66;5,59;28,67;112,39;2092,44;6,88;40,9846153846154;17,6581027667984;26,0425531914894;44,4444444444444;18,4177935510788;62,2211149864364;10,4433030998434;24,9522661039092;8,33333333333333;27,0015698587127
"48";48;"Crossostylis grandiflora";"F";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;1;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,55;8886,56;37;6;20;"Crossostylis grandiflora";"F";0;0;0;0,2;0,2;0,2;7,99;7,99;45,78;26,6;26,6;0;1,83;5,27;5,82;8,84;8,77;0,05;0,77;15,86;12,71;18,66;3,59;11,41;17,13;840,59;3,35;62,5882352941177;6,97037059593776;39,6132870599901;18,5185185185185;9,45911578833655;23,2902787219579;3,61121660969743;11,2146162629966;8,33333333333333;9,05405405405405
"49";49;"Geissois racemosa";"F";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,52;99,4;25,85;373,56;118,54;9843,28;39,29;6;29;"Geissois racemosa";"F";0;0;0;0,2;0,2;0,2;11,77;11,77;44,05;22,36;22,36;0;1,67;1,58;47,34;44,03;152,93;0,33;3,7;28,1;20,56;16,67;5,62;28,26;44,2;1519,3;8,62;31,9428571428571;5,88903743315508;34,4454199590284;21,7391304347826;15,4348956851781;37,2869917327484;7,5650497911982;16,7706237424547;44,5945945945946;21,9394247900229
"50";50;"Glochidion billardierei";"F";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;1;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;135,07;33,71;42,63;429,1;18,73;8681,63;51,94;6;30;"Glochidion billardierei";"F";0;0;0;0,26;0,26;0,26;4,02;4,02;85,8;15,94;15,94;0;1,1;1,01;18,73;17,46;38,04;0,07;1,42;28,58;22,98;6,16;6,19;37,45;2,83;1824,13;12,82;20,1338890994063;11,6425809077956;15,5632984901278;31,3253012048193;21,0113768958133;15,1094500800854;8,72756933115824;18,2735093444082;12,0689655172414;24,6823257604929
"51";51;"Aleurites moluccana";"F";29,5;5;59,9;9,08;0,92;9,08;19,5;19,5;674,53;39,17;39,17;1;0,67;9,98;208,86;196,61;329,36;0,55;12,32;28,66;218,84;158,44;19,31;316,34;132,15;11457,72;28,3;6;5;"Aleurites moluccana";"F";0;0;0;0,2;0,2;0,2;7,58;7,58;104,78;18;18;0;1,21;3,56;45,11;42,86;46,24;0,08;1,52;15,17;14,37;27,56;9,02;12,06;42,66;761,44;2,3;45,9535358692877;15,5337790758009;38,8717948717949;21,7391304347826;6,64565026898894;32,2814982973893;3,81235379654802;17,3945973239081;14,5454545454545;8,12720848056537
"52";52;"Trema cannabina";"N";29,5;5;59,9;9,5;0,5;9,5;22;22;623,08;53,33;53,33;1;9,33;0,85;184,68;147,3;353,91;0,31;7,99;67,58;232,92;56,74;52,43;304,63;35,12;22892,86;13,71;6;53;"Trema cannabina";"N";0;0;0;0;0;0;3,58;3,58;58,59;24,22;24,22;0;4,37;0,58;27,51;31,2;32,89;0,05;1,13;20,95;12,16;21,51;6,59;12,95;8,33;1156,38;0,64;45,4153384586537;9,40328689734866;16,2727272727273;0;5,05126926037201;23,7186788154898;4,25105866132686;37,909763835037;16,1290322580645;4,66812545587163
"53";53;"Elaeocarpus angustifolius";"F";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;1;7,5;2,08;136,93;116,03;422,64;0,44;9,27;31,1;152,04;90,24;24,44;398,05;23,68;11276,37;36,26;6;22;"Elaeocarpus angustifolius";"F";0;1,1;0;0;0;0;6,98;6,98;71,24;18,64;18,64;0;2,43;1,28;9,6;8,96;16,89;0,06;0,87;11,54;13,18;13,84;7,55;20,05;3,39;1600,29;6,76;32,4173913043478;10,1688624976805;38,0796508456083;0;14,1915350418619;14,3158783783784;5,03705564627559;15,3368794326241;13,6363636363636;18,6431329288472
"54";54;"Erythrina variegata var. fastigiata";"R";26,1;1,33;77,4;9,5;0,5;9,5;27,33;27,33;661,8;81,67;81,67;1;3,5;1,83;171,9;154,96;370,77;0,55;10,36;60,64;239,82;104,7;40,56;298,59;31,37;19111,65;16,38;6;24;"Erythrina variegata var. fastigiata";"R";0;1,03;0;0;0;0;9,44;9,44;37,91;8,16;8,16;0;2,07;1,08;28,06;22,91;34,92;0,09;1,18;21,13;26,98;46,1;9,97;18,92;10,59;1662,96;0,82;9,99142892126852;5,72831671199758;34,540797658251;0;8,70128952759181;33,7583678673892;6,33644797213571;44,0305635148042;16,3636363636364;5,00610500610501
